run,rpm,x rms,y rms,z rms,rms mag
baseline,3000,0.023,0.019,0.011,0.040
-2|-1|0|2|3,3000,0.008,0.010,0.006,0.022
-3|-2|-1|0|2|3|4,3000,0.020,0.011,0.007,0.043
-2|-1|0|2|3|4|5,3000,0.019,0.015,0.011,0.038
-2|-1|0|2|3,3000,0.008,0.016,0.008,0.024
-2|-1|0|2|2|3,3000,0.009,0.016,0.006,0.026
-2|-1|0|2|2|3|3,3000,0.015,0.014,0.009,0.035
-2|-1|0|1|2|2|3,3000,0.023,0.009,0.007,0.045
-2|-1|0|2|3,3000,0.007,0.014,0.007,0.029
-2|-1|0 (long)|2|3,3000,0.014,0.013,0.005,0.040
-2|-1|0|2|3 plus 3.3 hole,3000,0.014,0.014,0.007,0.027
-2|-1|0|2|3 plus 2x 3.3 hole,3000,0.035,0.006,0.008,0.055
-2|-1|3 plus 2x 3.3 hole,3000,0.020,0.014,0.007,0.036
2x 3.3 hole only,3000,0.004,0.007,0.004,0.022
2x 3.3 but a bit deeper,3000,0.003,0.014,0.007,0.023
2x 3.3 with pos 0,3000,0.010,0.013,0.006,0.024
3.3 holes with pos -3|5,3000,0.012,0.015,0.006,0.021
3.3 holes with pos -3|4,3000,0.011,0.015,0.006,0.029
3.3 holes with pos -3|5|0,3000,0.016,0.015,0.005,0.026
3.3 holes with pos -3|5 with keyway grub screw,3000,0.011,0.014,0.007,0.027
after some smashing,3000,0.014,0.013,0.006,0.045
after smashing and no grubs,3000,0.008,0.013,0.006,0.036
2x grub opposite key,3000,0.008,0.011,0.009,0.021
(unable to reproduce) keyway grub + 1 grub opposite,3000,0.004,0.008,0.006,0.013